,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203,SUBHD0204,SUBHD0205,HD03,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Median age (years),Males per 100 females,Males per 100 females
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Under 18 years,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,All ages,18 years and over
0400000US20,20,Kansas,8710000US2066115,2066115,Kansas - ZCTA 66115,ZCTA 66115,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US20,20,Kansas,8710000US2066118,2066118,Kansas - ZCTA 66118,ZCTA 66118,,,,,,,,$(X),$(X)
0400000US20,20,Kansas,8710000US2067260,2067260,Kansas - ZCTA 67260,ZCTA 67260,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US21,21,Kentucky,8710000US2140231,2140231,Kentucky - ZCTA 40231,ZCTA 40231,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US22,22,Louisiana,8710000US2270139,2270139,Louisiana - ZCTA 70139,ZCTA 70139,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US22,22,Louisiana,8710000US2270163,2270163,Louisiana - ZCTA 70163,ZCTA 70163,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US22,22,Louisiana,8710000US2270836,2270836,Louisiana - ZCTA 70836,ZCTA 70836,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US24,24,Maryland,8710000US2421240,2421240,Maryland - ZCTA 21240,ZCTA 21240,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US24,24,Maryland,8710000US2421916,2421916,Maryland - ZCTA 21916,ZCTA 21916,,,,,,,,$(X),$(X)
0400000US25,25,Massachusetts,8710000US2501199,2501199,Massachusetts - ZCTA 01199,ZCTA 01199,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US25,25,Massachusetts,8710000US2502203,2502203,Massachusetts - ZCTA 02203,ZCTA 02203,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648233,2648233,Michigan - ZCTA 48233,ZCTA 48233,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648242,2648242,Michigan - ZCTA 48242,ZCTA 48242,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648243,2648243,Michigan - ZCTA 48243,ZCTA 48243,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648397,2648397,Michigan - ZCTA 48397,ZCTA 48397,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648551,2648551,Michigan - ZCTA 48551,ZCTA 48551,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648553,2648553,Michigan - ZCTA 48553,ZCTA 48553,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648554,2648554,Michigan - ZCTA 48554,ZCTA 48554,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648667,2648667,Michigan - ZCTA 48667,ZCTA 48667,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648710,2648710,Michigan - ZCTA 48710,ZCTA 48710,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US26,26,Michigan,8710000US2648921,2648921,Michigan - ZCTA 48921,ZCTA 48921,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US27,27,Minnesota,8710000US2755111,2755111,Minnesota - ZCTA 55111,ZCTA 55111,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US27,27,Minnesota,8710000US2755155,2755155,Minnesota - ZCTA 55155,ZCTA 55155,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US27,27,Minnesota,8710000US2755905,2755905,Minnesota - ZCTA 55905,ZCTA 55905,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US28,28,Mississippi,8710000US2838702,2838702,Mississippi - ZCTA 38702,ZCTA 38702,,,,,,,,$(X),$(X)
0400000US28,28,Mississippi,8710000US2839269,2839269,Mississippi - ZCTA 39269,ZCTA 39269,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US29,29,Missouri,8710000US2963155,2963155,Missouri - ZCTA 63155,ZCTA 63155,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
